,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
66,BBKP,Bank Bukopin Tbk.,10 Jul 2006,11.535.389.661,UTAMA
67,BBLD,Buana Finance Tbk.,07 Mei 1990,1.645.796.054,PENGEMBANGAN
68,BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,4.049.189.100,UTAMA
69,BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,18.462.169.893,UTAMA
70,BBNP,Bank Nusantara Parahyangan Tbk,10 Jan 2001,791.895.641,UTAMA
71,BBRI,Bank Rakyat Indonesia (Persero,10 Nov 2003,122.112.351.900,UTAMA
72,BBRM,Pelayaran Nasional Bina Buana ,09 Jan 2013,5.367.076.248,UTAMA
73,BBTN,Bank Tabungan Negara (Persero),17 Des 2009,10.484.100.000,UTAMA
74,BBYB,Bank Yudha Bhakti Tbk.,13 Jan 2015,5.148.129.999,UTAMA
75,BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,38.531.387.216,UTAMA
76,BCIC,Bank JTrust Indonesia Tbk.,25 Jun 1997,9.912.003.256,PENGEMBANGAN
77,BCIP,Bumi Citra Permai Tbk.,11 Des 2009,1.429.915.525,PENGEMBANGAN
78,BDMN,Bank Danamon Indonesia Tbk.,06 Des 1989,9.488.796.931,UTAMA
79,BEKS,Bank Pembangunan Daerah Banten,13 Jul 2001,63.468.336.053,PENGEMBANGAN
80,BELL,Trisula Textile Industries Tbk,03 Okt 2017,1.450.000.000,PENGEMBANGAN
81,BEST,Bekasi Fajar Industrial Estate,10 Apr 2012,9.647.311.150,UTAMA
82,BFIN,BFI Finance  Indonesia Tbk.,16 Mei 1990,15.967.115.620,PENGEMBANGAN
83,BGTG,Bank Ganesha Tbk.,12 Mei 2016,11.063.309.400,PENGEMBANGAN
84,BHIT,MNC Investama Tbk.,24 Nov 1997,51.939.135.584,UTAMA
85,BIKA,Binakarya Jaya Abadi Tbk.,14 Jul 2015,592.280.000,PENGEMBANGAN
86,BIMA,Primarindo Asia Infrastructure,30 Ags 1994,608.175.716,PENGEMBANGAN
87,BINA,Bank Ina Perdana Tbk.,16 Jan 2014,5.597.831.250,PENGEMBANGAN
88,BIPI,Astrindo Nusantara Infrastrukt,11 Feb 2010,40.158.987.014,PENGEMBANGAN
89,BIPP,Bhuwanatala Indah Permai Tbk.,23 Okt 1995,5.028.669.338,PENGEMBANGAN
90,BIRD,Blue Bird Tbk.,05 Nov 2014,2.502.100.000,UTAMA
91,BISI,BISI International Tbk.,28 Mei 2007,3.000.000.000,UTAMA
92,BJBR,Bank Pembangunan Daerah Jawa B,08 Jul 2010,9.599.328.254,UTAMA
93,BJTM,Bank Pembangunan Daerah Jawa T,12 Jul 2012,14.828.353.632,UTAMA
94,BKDP,Bukit Darmo Property Tbk,15 Jun 2007,6.830.992.252,PENGEMBANGAN
95,BKSL,Sentul City Tbk.,28 Jul 1997,55.258.659.323,UTAMA
96,BKSW,Bank QNB Indonesia Tbk.,21 Nov 2002,20.232.319.124,PENGEMBANGAN
97,BLTA,Berlian Laju Tanker Tbk,26 Mar 1990,23.483.317.538,UTAMA
98,BLTZ,Graha Layar Prima Tbk.,10 Apr 2014,873.937.142,PENGEMBANGAN
99,BMAS,Bank Maspion Indonesia Tbk.,11 Jul 2013,4.399.026.922,PENGEMBANGAN
100,BMRI,Bank Mandiri (Persero) Tbk.,14 Jul 2003,46.199.999.998,UTAMA
101,BMSR,Bintang Mitra Semestaraya Tbk,29 Des 1999,1.159.200.024,UTAMA
102,BMTR,Global Mediacom Tbk.,17 Jul 1995,14.198.621.422,UTAMA
103,BNBA,Bank Bumi Arta Tbk.,01 Jun 2006,2.286.900.000,PENGEMBANGAN
104,BNBR,Bakrie & Brothers Tbk,28 Ags 1989,20.771.977.000,PENGEMBANGAN
105,BNGA,Bank CIMB Niaga Tbk.,29 Nov 1989,24.880.290.775,UTAMA
106,BNII,Bank Maybank Indonesia Tbk.,21 Nov 1989,75.357.433.911,UTAMA
107,BNLI,Bank Permata Tbk.,15 Jan 1990,27.762.311.813,UTAMA
108,BOGA,Bintang Oto Global Tbk.,19 Des 2016,3.803.247.640,PENGEMBANGAN
109,BOLT,Garuda Metalindo Tbk.,07 Jul 2015,2.343.750.000,PENGEMBANGAN
110,BORN,Borneo Lumbung Energi & Metal ,26 Nov 2010,17.693.000.000,PENGEMBANGAN
111,BOSS,Borneo Olah Sarana Sukses Tbk.,15 Feb 2018,1.400.000.000,PENGEMBANGAN
112,BPFI,Batavia Prosperindo Finance Tb,01 Jun 2009,1.782.663.575,PENGEMBANGAN
113,BPII,Batavia Prosperindo Internasio,08 Jul 2014,514.010.900,PENGEMBANGAN
114,BPTR,Batavia Prosperindo Trans Tbk.,09 Jul 2018,1.550.000.000,UTAMA
115,BRAM,Indo Kordsa Tbk.,05 Sep 1990,450.000.000,UTAMA
116,BRIS,Bank BRIsyariah Tbk.,01 Jan 1911,9.618.952.363,UTAMA
117,BRMS,Bumi Resources Minerals Tbk.,09 Des 2010,62.322.456.902,PENGEMBANGAN
118,BRNA,Berlina Tbk.,06 Nov 1989,979.110.000,PENGEMBANGAN
119,BRPT,Barito Pacific Tbk.,01 Okt 1993,17.791.586.878,UTAMA
120,BSDE,Bumi Serpong Damai Tbk.,06 Jun 2008,19.246.696.192,UTAMA
121,BSIM,Bank Sinarmas Tbk.,13 Des 2010,15.183.894.926,UTAMA
122,BSSR,Baramulti Suksessarana Tbk.,08 Nov 2012,2.616.500.000,PENGEMBANGAN
123,BSWD,Bank Of India Indonesia Tbk.,01 Mei 2002,1.374.912.000,PENGEMBANGAN
124,BTEK,Bumi Teknokultura Unggul Tbk,14 Mei 2004,46.277.496.376,PENGEMBANGAN
125,BTEL,Bakrie Telecom Tbk.,03 Feb 2006,36.773.904.635,UTAMA
126,BTON,Betonjaya Manunggal Tbk.,18 Jul 2001,720.000.000,PENGEMBANGAN
127,BTPN,Bank Tabungan Pensiunan Nasion,12 Mar 2008,5.790.936.274,UTAMA
128,BTPS,Bank Tabungan Pensiunan Nasion,08 Mei 2018,7.626.663.000,UTAMA
129,BUDI,Budi Starch & Sweetener Tbk.,08 Mei 1995,4.498.997.362,UTAMA
130,BUKK,Bukaka Teknik Utama Tbk.,29 Jun 2015,2.640.452.000,PENGEMBANGAN
131,BULL,Buana Lintas Lautan Tbk.,23 Mei 2011,7.298.983.130,UTAMA
132,BUMI,Bumi Resources Tbk.,30 Jul 1990,65.475.927.488,PENGEMBANGAN
133,BUVA,Bukit Uluwatu Villa Tbk.,12 Jul 2010,6.811.269.200,PENGEMBANGAN
134,BVIC,Bank Victoria International Tb,30 Jun 1999,8.592.141.624,UTAMA
135,BWPT,Eagle High Plantations Tbk.,27 Okt 2009,31.525.291.000,UTAMA
136,BYAN,Bayan Resources Tbk.,12 Ags 2008,3.333.333.500,UTAMA
137,CAKK,Cahayaputra Asa Keramik Tbk.,31 Okt 2018,1.203.300.000,PENGEMBANGAN
138,CAMP,Campina Ice Cream Industry Tbk,19 Des 2017,5.885.000.000,PENGEMBANGAN
139,CANI,Capitol Nusantara Indonesia Tb,16 Jan 2014,833.440.000,UTAMA
140,CARS,Industri dan Perdagangan Bintr,10 Apr 2017,1.500.000.000,PENGEMBANGAN
141,CASA,Capital Financial Indonesia Tb,19 Jul 2016,54.268.801.188,PENGEMBANGAN
142,CASS,Cardig Aero Services Tbk.,05 Des 2011,2.086.950.000,PENGEMBANGAN
143,CEKA,Wilmar Cahaya Indonesia Tbk.,09 Jul 1996,595.000.000,UTAMA
144,CENT,Centratama Telekomunikasi Indo,01 Nov 2001,31.183.464.900,PENGEMBANGAN
145,CFIN,Clipan Finance Indonesia Tbk.,02 Okt 1990,3.984.520.457,UTAMA
146,CINT,Chitose Internasional Tbk.,27 Jun 2014,1.000.000.000,PENGEMBANGAN
147,CITA,Cita Mineral Investindo Tbk.,20 Mar 2002,3.370.734.900,PENGEMBANGAN
148,CITY,Natura City Developments Tbk.,28 Sep 2018,5.400.000.000,UTAMA
149,CKRA,Cakra Mineral Tbk.,19 Mei 1999,5.106.021.090,PENGEMBANGAN
150,CLEO,Sariguna Primatirta Tbk.,05 Mei 2017,12.000.000.000,PENGEMBANGAN
151,CLPI,Colorpak Indonesia Tbk.,30 Nov 2001,306.338.500,PENGEMBANGAN
152,CMNP,Citra Marga Nusaphala Persada ,10 Jan 1995,3.620.831.944,UTAMA
153,CMPP,AirAsia Indonesia Tbk.,08 Des 1994,10.685.124.441,PENGEMBANGAN
154,CNKO,Exploitasi Energi Indonesia Tb,20 Nov 2001,8.956.361.206,UTAMA
155,CNTX,Century Textile Industry Tbk.,22 Mei 1979,70.000.000,PENGEMBANGAN
156,COWL,Cowell Development Tbk.,19 Des 2007,4.871.214.021,PENGEMBANGAN
157,CPIN,Charoen Pokphand Indonesia Tbk,18 Mar 1991,16.398.000.000,UTAMA
158,CPRO,Central Proteina Prima Tbk.,28 Nov 2006,59.572.382.787,UTAMA
159,CSAP,Catur Sentosa Adiprana Tbk.,12 Des 2007,4.458.352.920,UTAMA
160,CSIS,Cahayasakti Investindo Sukses ,10 Mei 2017,1.307.000.000,PENGEMBANGAN
161,CTBN,Citra Tubindo Tbk.,28 Nov 1989,800.371.500,UTAMA
162,CTRA,Ciputra Development Tbk.,28 Mar 1994,18.560.303.397,UTAMA
163,CTTH,Citatah Tbk.,03 Jul 1996,1.230.839.821,PENGEMBANGAN
164,DART,Duta Anggada Realty Tbk.,08 Mei 1990,3.141.390.962,UTAMA
165,DAYA,Duta Intidaya Tbk.,28 Jun 2016,2.420.547.025,PENGEMBANGAN
166,DEAL,Dewata Freightinternational Tb,09 Nov 2018,1.120.000.000,PENGEMBANGAN
167,DEFI,Danasupra Erapacific Tbk,06 Jul 2001,676.000.000,PENGEMBANGAN
168,DEWA,Darma Henwa Tbk,26 Sep 2007,21.853.733.792,UTAMA
169,DFAM,Dafam Property Indonesia Tbk.,27 Apr 2018,1.607.998.900,PENGEMBANGAN
170,DGIK,Nusa Konstruksi Enjiniring Tbk,19 Des 2007,5.541.165.000,UTAMA
171,DIGI,Arkadia Digital Media Tbk.,18 Sep 2018,325.000.000,PENGEMBANGAN
172,DILD,Intiland Development Tbk.,04 Sep 1991,10.365.854.185,UTAMA
173,DIVA,Distribusi Voucher Nusantara T,27 Nov 2018,714.285.700,PENGEMBANGAN
174,DKFT,Central Omega Resources Tbk.,21 Nov 1997,5.638.246.600,PENGEMBANGAN
175,DLTA,Delta Djakarta Tbk.,12 Feb 1984,800.659.050,UTAMA
176,DMAS,Puradelta Lestari Tbk.,29 Mei 2015,48.198.111.100,UTAMA
177,DNAR,Bank Dinar Indonesia Tbk.,11 Jul 2014,2.227.500.000,UTAMA
178,DNET,Indoritel Makmur Internasional,11 Des 2000,14.184.000.000,PENGEMBANGAN
179,DOID,Delta Dunia Makmur Tbk.,15 Jun 2001,8.611.686.432,PENGEMBANGAN
180,DPNS,Duta Pertiwi Nusantara Tbk.,08 Ags 1990,331.129.952,UTAMA
181,DPUM,Dua Putra Utama Makmur Tbk.,08 Des 2015,4.175.000.000,UTAMA
182,DSFI,Dharma Samudera Fishing Indust,24 Mar 2000,1.857.135.500,UTAMA
183,DSNG,Dharma Satya Nusantara Tbk.,14 Jun 2013,10.599.842.400,UTAMA
184,DSSA,Dian Swastatika Sentosa Tbk,10 Des 2009,770.552.320,UTAMA
185,DUCK,Jaya Bersama Indo Tbk.,10 Okt 2018,1.283.330.000,UTAMA
186,DUTI,Duta Pertiwi Tbk,02 Nov 1994,1.850.000.000,PENGEMBANGAN
187,DVLA,Darya-Varia Laboratoria Tbk.,11 Nov 1994,1.120.000.000,UTAMA
188,DWGL,Dwi Guna Laksana Tbk.,13 Des 2017,8.637.564.799,PENGEMBANGAN
189,DYAN,Dyandra Media International Tb,25 Mar 2013,4.272.964.279,UTAMA
190,ECII,Electronic City Indonesia Tbk.,03 Jul 2013,1.334.333.000,PENGEMBANGAN
191,EKAD,Ekadharma International Tbk.,14 Ags 1990,698.775.000,UTAMA
192,ELSA,Elnusa Tbk.,06 Feb 2008,7.298.500.000,UTAMA
193,ELTY,Bakrieland Development Tbk.,30 Okt 1995,43.521.913.019,PENGEMBANGAN
194,EMDE,Megapolitan Developments Tbk.,12 Jan 2011,3.350.000.000,PENGEMBANGAN
195,EMTK,Elang Mahkota Teknologi Tbk.,12 Jan 2010,5.640.032.442,UTAMA
196,ENRG,Energi Mega Persada Tbk.,07 Jun 2004,10.342.179.272,PENGEMBANGAN
197,EPMT,Enseval Putera Megatrading Tbk,01 Ags 1994,2.708.640.000,PENGEMBANGAN
198,ERAA,Erajaya Swasembada Tbk.,14 Des 2011,3.190.000.000,UTAMA
199,ERTX,Eratex Djaja Tbk.,21 Ags 1990,1.286.539.792,PENGEMBANGAN
200,ESSA,Surya Esa Perkasa Tbk.,01 Feb 2012,14.300.000.000,UTAMA
201,ESTI,Ever Shine Tex Tbk.,13 Okt 1992,2.015.208.720,UTAMA
202,ETWA,Eterindo Wahanatama Tbk,16 Mei 1997,968.297.000,UTAMA
203,EXCL,XL Axiata Tbk.,29 Sep 2005,10.687.960.423,UTAMA
204,FAST,Fast Food Indonesia Tbk.,11 Mei 1993,1.995.138.579,PENGEMBANGAN
205,FASW,Fajar Surya Wisesa Tbk.,01 Des 1994,2.477.888.787,UTAMA
206,FILM,MD Pictures Tbk.,07 Ags 2018,9.511.217.000,UTAMA
207,FINN,First Indo American Leasing Tb,08 Jun 2017,1.860.225.000,PENGEMBANGAN
208,FIRE,Alfa Energi Investama Tbk.,09 Jun 2017,1.408.608.780,PENGEMBANGAN
209,FISH,FKS Multi Agro Tbk.,18 Jan 2002,480.000.000,PENGEMBANGAN
210,FMII,Fortune Mate Indonesia Tbk,30 Jun 2000,2.721.000.000,PENGEMBANGAN
211,FORU,Fortune Indonesia Tbk,17 Jan 2004,465.224.000,PENGEMBANGAN
212,FORZ,Forza Land Indonesia Tbk.,28 Apr 2017,1.972.896.387,UTAMA
213,FPNI,Lotte Chemical Titan Tbk.,21 Mar 2002,5.566.414.000,PENGEMBANGAN
214,FREN,Smartfren Telecom Tbk.,29 Nov 2006,171.114.685.667,UTAMA
215,GAMA,Gading Development Tbk.,11 Jul 2012,10.011.027.656,UTAMA
216,GDST,Gunawan Dianjaya Steel Tbk.,23 Des 2009,9.242.500.000,PENGEMBANGAN
217,GDYR,Goodyear Indonesia Tbk.,01 Des 1980,410.000.000,UTAMA
218,GEMA,Gema Grahasarana Tbk.,12 Ags 2002,1.600.000.000,PENGEMBANGAN
219,GEMS,Golden Energy Mines Tbk.,17 Nov 2011,5.882.353.000,UTAMA
220,GGRM,Gudang Garam Tbk.,27 Ags 1990,1.924.088.000,UTAMA
221,GHON,Gihon Telekomunikasi Indonesia,09 Apr 2018,550.000.000,UTAMA
222,GIAA,Garuda Indonesia (Persero) Tbk,11 Feb 2011,25.886.576.254,UTAMA
223,GJTL,Gajah Tunggal Tbk.,08 Mei 1990,3.484.800.000,UTAMA
224,GLOB,Global Teleshop Tbk.,10 Jul 2012,1.111.112.000,PENGEMBANGAN
225,GMCW,Grahamas Citrawisata Tbk.,14 Feb 1995,58.839.958,PENGEMBANGAN
226,GMFI,Garuda Maintenance Facility Ae,10 Okt 2017,28.233.511.500,UTAMA
227,GMTD,Gowa Makassar Tourism Developm,11 Des 2000,101.538.000,PENGEMBANGAN
228,GOLD,Visi Telekomunikasi Infrastruk,07 Jul 2010,314.600.000,PENGEMBANGAN
229,GOLL,Golden Plantation Tbk.,23 Des 2014,3.665.000.759,PENGEMBANGAN
230,GOOD,Garudafood Putra Putri Jaya Tb,10 Okt 2018,7.379.580.291,UTAMA
231,GPRA,Perdana Gapuraprima Tbk.,10 Okt 2007,4.276.655.336,UTAMA
232,GREN,Evergreen Invesco Tbk.,09 Jul 2010,4.694.111.791,UTAMA
233,GSMF,Equity Development Investment ,13 Okt 1989,7.454.723.337,PENGEMBANGAN
234,GTBO,Garda Tujuh Buana Tbk,09 Jul 2009,2.500.000.000,PENGEMBANGAN
235,GWSA,Greenwood Sejahtera Tbk.,23 Des 2011,7.800.760.000,UTAMA
236,GZCO,Gozco Plantations Tbk.,15 Mei 2008,6.000.000.000,UTAMA
237,HADE,Himalaya Energi Perkasa Tbk.,12 Apr 2004,2.120.000.000,PENGEMBANGAN
238,HDFA,Radana Bhaskara Finance Tbk.,10 Mei 2011,2.329.668.917,UTAMA
239,HDTX,Panasia Indo Resources Tbk.,06 Jun 1990,3.601.462.800,UTAMA
240,HEAL,Medikaloka Hermina Tbk.,16 Mei 2018,2.973.000.000,UTAMA
241,HELI,Jaya Trishindo Tbk.,27 Mar 2018,819.000.000,PENGEMBANGAN
242,HERO,Hero Supermarket Tbk.,02 Des 1989,4.183.634.000,UTAMA
243,HEXA,Hexindo Adiperkasa Tbk.,13 Feb 1995,840.000.000,UTAMA
244,HITS,Humpuss Intermoda Transportasi,15 Des 1997,7.101.084.801,UTAMA
245,HKMU,HK Metals Utama Tbk.,09 Okt 2018,3.221.750.000,UTAMA
246,HMSP,H.M. Sampoerna Tbk.,15 Ags 1990,116.318.076.900,UTAMA
247,HOKI,Buyung Poetra Sembada Tbk.,22 Jun 2017,2.374.834.620,UTAMA
248,HOME,Hotel Mandarine Regency Tbk.,17 Jul 2008,2.266.550.488,PENGEMBANGAN
249,HOTL,Saraswati Griya Lestari Tbk.,10 Jan 2013,3.550.001.452,UTAMA
250,HRTA,Hartadinata Abadi Tbk.,21 Jun 2017,4.605.262.400,PENGEMBANGAN
251,HRUM,Harum Energy Tbk.,06 Okt 2010,2.703.620.000,UTAMA
252,IATA,Indonesia Transport & Infrastr,13 Sep 2006,9.979.518.088,PENGEMBANGAN
253,IBFN,Intan Baruprana Finance Tbk.,22 Des 2014,1.517.321.249,PENGEMBANGAN
254,IBST,Inti Bangun Sejahtera Tbk.,31 Ags 2012,1.350.904.927,UTAMA
255,ICBP,Indofood CBP Sukses Makmur Tbk,07 Okt 2010,11.661.908.000,UTAMA
256,ICON,Island Concepts Indonesia Tbk.,08 Jul 2005,1.089.750.000,PENGEMBANGAN
257,IDPR,Indonesia Pondasi Raya Tbk.,10 Des 2015,2.003.000.000,UTAMA
258,IGAR,Champion Pacific Indonesia Tbk,05 Nov 1990,972.204.500,UTAMA
259,IIKP,Inti Agri Resources Tbk,20 Okt 2002,33.600.000.000,PENGEMBANGAN
260,IKAI,Intikeramik Alamasri Industri ,04 Jun 1997,10.137.508.642,UTAMA
261,IKBI,Sumi Indo Kabel Tbk.,21 Jan 1991,1.224.000.000,PENGEMBANGAN
262,IMAS,Indomobil Sukses Internasional,15 Sep 1993,2.765.278.412,UTAMA
263,IMJS,Indomobil Multi Jasa Tbk.,10 Des 2013,5.017.000.000,UTAMA
264,IMPC,Impack Pratama Industri Tbk.,17 Des 2014,4.833.500.000,PENGEMBANGAN
265,INAF,Indofarma Tbk.,17 Apr 2001,3.099.267.500,UTAMA
266,INAI,Indal Aluminium Industry Tbk.,05 Des 1994,633.600.000,PENGEMBANGAN
267,INCF,Indo Komoditi Korpora Tbk.,18 Des 1989,1.438.370.465,PENGEMBANGAN
268,INCI,Intanwijaya Internasional Tbk,24 Jul 1990,196.121.237,UTAMA
269,INCO,Vale Indonesia Tbk.,16 Mei 1990,9.936.338.720,UTAMA
270,INDF,Indofood Sukses Makmur Tbk.,14 Jul 1994,8.780.426.500,UTAMA
271,INDR,Indo-Rama Synthetics Tbk.,03 Ags 1990,654.351.707,UTAMA
272,INDS,Indospring Tbk.,10 Ags 1990,656.249.710,UTAMA
273,INDX,Tanah Laut Tbk,17 Mei 2001,437.913.588,PENGEMBANGAN
274,INDY,Indika Energy Tbk.,11 Jun 2008,5.210.192.000,UTAMA
275,INKP,Indah Kiat Pulp & Paper Tbk.,16 Jul 1990,5.470.982.941,UTAMA
276,INPC,Bank Artha Graha Internasional,29 Ags 1990,15.638.233.101,UTAMA
277,INPP,Indonesian Paradise Property T,01 Des 2004,11.181.971.732,PENGEMBANGAN
278,INPS,Indah Prakasa Sentosa Tbk.,06 Apr 2018,650.000.000,PENGEMBANGAN
279,INRU,Toba Pulp Lestari Tbk.,18 Jun 1990,1.388.883.283,PENGEMBANGAN
280,INTA,Intraco Penta Tbk.,23 Ags 1993,3.334.634.447,PENGEMBANGAN
281,INTD,Inter Delta Tbk,18 Des 1989,591.828.000,PENGEMBANGAN
282,INTP,Indocement Tunggal Prakarsa Tb,05 Des 1989,3.681.231.699,UTAMA
283,IPCC,Indonesia Kendaraan Terminal T,09 Jul 2018,1.818.384.820,PENGEMBANGAN
284,IPCM,Jasa Armada Indonesia Tbk.,22 Des 2017,5.284.811.100,PENGEMBANGAN
285,IPOL,Indopoly Swakarsa Industry Tbk,09 Jul 2010,6.443.379.509,UTAMA
286,ISAT,Indosat Tbk.,19 Okt 1994,5.433.933.500,UTAMA
287,ISSP,Steel Pipe Industry of Indones,22 Feb 2013,7.185.992.035,UTAMA
288,ITMA,Sumber Energi Andalan Tbk.,10 Des 1990,680.000.000,PENGEMBANGAN
289,ITMG,Indo Tambangraya Megah Tbk.,18 Des 2007,1.129.925.000,UTAMA
290,ITTG,Leo Investments Tbk.,26 Nov 2001,1.379.000.000,PENGEMBANGAN
291,JAWA,Jaya Agra Wattie Tbk.,30 Mei 2011,3.774.685.500,UTAMA
292,JECC,Jembo Cable Company Tbk.,18 Nov 1992,151.200.000,PENGEMBANGAN
