No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
128,BTPN,Bank Tabungan Pensiunan Nasion,12 Mar 2008,5.790.936.274,UTAMA
129,BTPS,Bank Tabungan Pensiunan Nasion,08 Mei 2018,7.626.663.000,UTAMA
130,BUDI,Budi Starch & Sweetener Tbk.,08 Mei 1995,4.498.997.362,UTAMA
131,BUKK,Bukaka Teknik Utama Tbk.,29 Jun 2015,2.640.452.000,PENGEMBANGAN
132,BULL,Buana Lintas Lautan Tbk.,23 Mei 2011,7.298.983.130,UTAMA
133,BUMI,Bumi Resources Tbk.,30 Jul 1990,65.475.927.488,PENGEMBANGAN
134,BUVA,Bukit Uluwatu Villa Tbk.,12 Jul 2010,6.811.269.200,PENGEMBANGAN
135,BVIC,Bank Victoria International Tb,30 Jun 1999,8.592.141.624,UTAMA
136,BWPT,Eagle High Plantations Tbk.,27 Okt 2009,31.525.291.000,UTAMA
137,BYAN,Bayan Resources Tbk.,12 Ags 2008,3.333.333.500,UTAMA
138,CAKK,Cahayaputra Asa Keramik Tbk.,31 Okt 2018,1.203.300.000,PENGEMBANGAN
139,CAMP,Campina Ice Cream Industry Tbk,19 Des 2017,5.885.000.000,PENGEMBANGAN
140,CANI,Capitol Nusantara Indonesia Tb,16 Jan 2014,833.440.000,UTAMA
141,CARS,Industri dan Perdagangan Bintr,10 Apr 2017,1.500.000.000,PENGEMBANGAN
142,CASA,Capital Financial Indonesia Tb,19 Jul 2016,54.268.801.188,PENGEMBANGAN
143,CASS,Cardig Aero Services Tbk.,05 Des 2011,2.086.950.000,PENGEMBANGAN
144,CEKA,Wilmar Cahaya Indonesia Tbk.,09 Jul 1996,595.000.000,UTAMA
145,CENT,Centratama Telekomunikasi Indo,01 Nov 2001,31.183.464.900,PENGEMBANGAN
146,CFIN,Clipan Finance Indonesia Tbk.,02 Okt 1990,3.984.520.457,UTAMA
147,CINT,Chitose Internasional Tbk.,27 Jun 2014,1.000.000.000,PENGEMBANGAN
148,CITA,Cita Mineral Investindo Tbk.,20 Mar 2002,3.370.734.900,PENGEMBANGAN
149,CITY,Natura City Developments Tbk.,28 Sep 2018,5.400.000.000,UTAMA
150,CKRA,Cakra Mineral Tbk.,19 Mei 1999,5.106.021.090,PENGEMBANGAN
151,CLEO,Sariguna Primatirta Tbk.,05 Mei 2017,12.000.000.000,PENGEMBANGAN
152,CLPI,Colorpak Indonesia Tbk.,30 Nov 2001,306.338.500,PENGEMBANGAN
153,CMNP,Citra Marga Nusaphala Persada ,10 Jan 1995,3.620.831.944,UTAMA
154,CMPP,AirAsia Indonesia Tbk.,08 Des 1994,10.685.124.441,PENGEMBANGAN
155,CNKO,Exploitasi Energi Indonesia Tb,20 Nov 2001,8.956.361.206,UTAMA
156,CNTX,Century Textile Industry Tbk.,22 Mei 1979,70.000.000,PENGEMBANGAN
157,COWL,Cowell Development Tbk.,19 Des 2007,4.871.214.021,PENGEMBANGAN
158,CPIN,Charoen Pokphand Indonesia Tbk,18 Mar 1991,16.398.000.000,UTAMA
159,CPRO,Central Proteina Prima Tbk.,28 Nov 2006,59.572.382.787,UTAMA
160,CSAP,Catur Sentosa Adiprana Tbk.,12 Des 2007,4.458.352.920,UTAMA
161,CSIS,Cahayasakti Investindo Sukses ,10 Mei 2017,1.307.000.000,PENGEMBANGAN
162,CTBN,Citra Tubindo Tbk.,28 Nov 1989,800.371.500,UTAMA
163,CTRA,Ciputra Development Tbk.,28 Mar 1994,18.560.303.397,UTAMA
164,CTTH,Citatah Tbk.,03 Jul 1996,1.230.839.821,PENGEMBANGAN
165,DART,Duta Anggada Realty Tbk.,08 Mei 1990,3.141.390.962,UTAMA
166,DAYA,Duta Intidaya Tbk.,28 Jun 2016,2.420.547.025,PENGEMBANGAN
167,DEAL,Dewata Freightinternational Tb,09 Nov 2018,1.120.000.000,PENGEMBANGAN
168,DEFI,Danasupra Erapacific Tbk,06 Jul 2001,676.000.000,PENGEMBANGAN
169,DEWA,Darma Henwa Tbk,26 Sep 2007,21.853.733.792,UTAMA
170,DFAM,Dafam Property Indonesia Tbk.,27 Apr 2018,1.607.998.900,PENGEMBANGAN
171,DGIK,Nusa Konstruksi Enjiniring Tbk,19 Des 2007,5.541.165.000,UTAMA
172,DIGI,Arkadia Digital Media Tbk.,18 Sep 2018,325.000.000,PENGEMBANGAN
173,DILD,Intiland Development Tbk.,04 Sep 1991,10.365.854.185,UTAMA
174,DIVA,Distribusi Voucher Nusantara T,27 Nov 2018,714.285.700,PENGEMBANGAN
175,DKFT,Central Omega Resources Tbk.,21 Nov 1997,5.638.246.600,PENGEMBANGAN
176,DLTA,Delta Djakarta Tbk.,12 Feb 1984,800.659.050,UTAMA
177,DMAS,Puradelta Lestari Tbk.,29 Mei 2015,48.198.111.100,UTAMA
178,DNAR,Bank Dinar Indonesia Tbk.,11 Jul 2014,2.227.500.000,UTAMA
179,DNET,Indoritel Makmur Internasional,11 Des 2000,14.184.000.000,PENGEMBANGAN
180,DOID,Delta Dunia Makmur Tbk.,15 Jun 2001,8.611.686.432,PENGEMBANGAN
181,DPNS,Duta Pertiwi Nusantara Tbk.,08 Ags 1990,331.129.952,UTAMA
182,DPUM,Dua Putra Utama Makmur Tbk.,08 Des 2015,4.175.000.000,UTAMA
183,DSFI,Dharma Samudera Fishing Indust,24 Mar 2000,1.857.135.500,UTAMA
184,DSNG,Dharma Satya Nusantara Tbk.,14 Jun 2013,10.599.842.400,UTAMA
185,DSSA,Dian Swastatika Sentosa Tbk,10 Des 2009,770.552.320,UTAMA
186,DUCK,Jaya Bersama Indo Tbk.,10 Okt 2018,1.283.330.000,UTAMA
187,DUTI,Duta Pertiwi Tbk,02 Nov 1994,1.850.000.000,PENGEMBANGAN
188,DVLA,Darya-Varia Laboratoria Tbk.,11 Nov 1994,1.120.000.000,UTAMA
189,DWGL,Dwi Guna Laksana Tbk.,13 Des 2017,8.637.564.799,PENGEMBANGAN
190,DYAN,Dyandra Media International Tb,25 Mar 2013,4.272.964.279,UTAMA
191,ECII,Electronic City Indonesia Tbk.,03 Jul 2013,1.334.333.000,PENGEMBANGAN
192,EKAD,Ekadharma International Tbk.,14 Ags 1990,698.775.000,UTAMA
193,ELSA,Elnusa Tbk.,06 Feb 2008,7.298.500.000,UTAMA
194,ELTY,Bakrieland Development Tbk.,30 Okt 1995,43.521.913.019,PENGEMBANGAN
195,EMDE,Megapolitan Developments Tbk.,12 Jan 2011,3.350.000.000,PENGEMBANGAN
196,EMTK,Elang Mahkota Teknologi Tbk.,12 Jan 2010,5.640.032.442,UTAMA
197,ENRG,Energi Mega Persada Tbk.,07 Jun 2004,10.342.179.272,PENGEMBANGAN
198,EPMT,Enseval Putera Megatrading Tbk,01 Ags 1994,2.708.640.000,PENGEMBANGAN
199,ERAA,Erajaya Swasembada Tbk.,14 Des 2011,3.190.000.000,UTAMA
200,ERTX,Eratex Djaja Tbk.,21 Ags 1990,1.286.539.792,PENGEMBANGAN
