No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
538,SSMS,Sawit Sumbermas Sarana Tbk.,12 Des 2013,9.525.000.000,UTAMA
539,SSTM,Sunson Textile Manufacture Tbk,20 Ags 1997,1.170.909.181,PENGEMBANGAN
540,STAR,Star  Petrochem Tbk.,13 Jul 2011,4.800.000.602,UTAMA
541,STTP,Siantar Top Tbk.,16 Des 1996,1.310.000.000,PENGEMBANGAN
542,SUGI,Sugih Energy Tbk.,19 Jun 2002,24.811.541.414,PENGEMBANGAN
543,SULI,SLJ Global Tbk.,21 Mar 1994,3.986.916.802,UTAMA
544,SUPR,Solusi Tunas Pratama Tbk.,11 Okt 2011,1.137.579.698,PENGEMBANGAN
545,SURE,Super Energy Tbk.,05 Okt 2018,1.497.576.771,PENGEMBANGAN
546,SWAT,Sriwahana Adityakarta Tbk.,08 Jun 2018,3.019.200.000,PENGEMBANGAN
547,TALF,Tunas Alfin Tbk.,17 Jan 2014,1.353.435.000,PENGEMBANGAN
548,TAMU,Pelayaran Tamarin Samudra Tbk.,10 Mei 2017,3.750.000.000,PENGEMBANGAN
549,TARA,Sitara Propertindo Tbk.,11 Jul 2014,10.069.645.750,UTAMA
550,TAXI,Express Transindo Utama Tbk.,02 Nov 2012,2.145.600.000,UTAMA
551,TBIG,Tower Bersama Infrastructure T,26 Okt 2010,4.531.399.889,UTAMA
552,TBLA,Tunas Baru Lampung Tbk.,14 Feb 2000,5.342.098.939,UTAMA
553,TBMS,Tembaga Mulia Semanan Tbk.,30 Sep 1993,367.340.000,PENGEMBANGAN
554,TCID,Mandom Indonesia Tbk.,30 Sep 1993,201.066.667,UTAMA
555,TCPI,Transcoal Pacific Tbk.,06 Jul 2018,5.000.000.000,PENGEMBANGAN
556,TDPM,Tridomain Performance Material,09 Apr 2018,10.485.050.500,UTAMA
557,TELE,Tiphone Mobile Indonesia Tbk.,12 Jan 2012,7.302.194.889,UTAMA
558,TFCO,Tifico Fiber Indonesia Tbk.,26 Feb 1980,4.823.076.400,PENGEMBANGAN
559,TGKA,Tigaraksa Satria Tbk.,11 Jun 1990,918.492.750,PENGEMBANGAN
560,TGRA,Terregra Asia Energy Tbk.,16 Mei 2017,2.750.000.000,UTAMA
561,TIFA,Tifa Finance Tbk.,08 Jul 2011,1.079.700.000,PENGEMBANGAN
562,TINS,Timah Tbk.,19 Okt 1995,7.447.753.454,UTAMA
563,TIRA,Tira Austenite Tbk,27 Jul 1993,588.000.000,PENGEMBANGAN
564,TIRT,Tirta Mahakam Resources Tbk,13 Des 1999,1.011.774.750,UTAMA
565,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,03 Apr 1990,3.113.223.570,UTAMA
566,TLKM,Telekomunikasi Indonesia (Pers,14 Nov 1995,99.062.216.600,UTAMA
567,TMAS,Pelayaran Tempuran Emas Tbk.,09 Jul 2003,1.141.030.000,UTAMA
568,TMPI,Sigmagold Inti Perkasa Tbk.,26 Jan 1995,5.502.083.747,UTAMA
569,TMPO,Tempo Intimedia Tbk.,08 Jan 2001,1.058.333.250,PENGEMBANGAN
570,TNCA,Trimuda Nuansa Citra Tbk.,28 Jun 2018,421.640.000,PENGEMBANGAN
571,TOBA,Toba Bara Sejahtra Tbk.,06 Jul 2012,2.012.491.000,UTAMA
572,TOPS,Totalindo Eka Persada Tbk.,16 Jun 2017,33.330.000.000,UTAMA
573,TOTL,Total Bangun Persada Tbk.,25 Jul 2006,3.410.000.000,UTAMA
574,TOTO,Surya Toto Indonesia Tbk.,30 Okt 1990,10.320.000.000,PENGEMBANGAN
575,TOWR,Sarana Menara Nusantara Tbk.,08 Mar 2010,51.014.625.000,PENGEMBANGAN
576,TPIA,Chandra Asri Petrochemical Tbk,24 Jun 1996,17.833.520.260,PENGEMBANGAN
577,TPMA,Trans Power Marine Tbk.,20 Feb 2013,2.633.300.000,PENGEMBANGAN
578,TRAM,Trada Alam Minera Tbk.,10 Sep 2008,49.633.687.987,UTAMA
579,TRIL,Triwira Insanlestari Tbk.,28 Jan 2008,1.200.000.000,PENGEMBANGAN
580,TRIM,Trimegah Sekuritas Indonesia T,31 Jan 2000,7.109.300.000,UTAMA
581,TRIO,Trikomsel Oke Tbk.,14 Apr 2009,26.007.494.645,UTAMA
582,TRIS,Trisula International Tbk.,28 Jun 2012,1.047.587.802,PENGEMBANGAN
583,TRST,Trias Sentosa Tbk.,02 Jul 1990,2.808.000.000,UTAMA
584,TRUK,Guna Timur Raya Tbk.,23 Mei 2018,435.000.000,PENGEMBANGAN
585,TRUS,Trust Finance Indonesia Tbk,28 Nov 2002,800.000.000,PENGEMBANGAN
586,TSPC,Tempo Scan Pacific Tbk.,17 Jun 1994,4.500.000.000,UTAMA
587,TUGU,Asuransi Tugu Pratama Indonesi,28 Mei 2018,1.777.777.800,PENGEMBANGAN
588,TURI,Tunas Ridean Tbk.,06 Mei 1995,5.580.000.000,UTAMA
589,ULTJ,Ultra Jaya Milk Industry & Tra,02 Jul 1990,11.553.528.000,UTAMA
590,UNIC,Unggul Indah Cahaya Tbk.,06 Nov 1989,383.331.363,UTAMA
591,UNIT,Nusantara Inti Corpora Tbk,18 Apr 2002,75.422.200,PENGEMBANGAN
592,UNSP,Bakrie Sumatera Plantations Tb,06 Mar 1990,2.500.162.344,UTAMA
593,UNTR,United Tractors Tbk.,19 Sep 1989,3.730.135.136,UTAMA
594,UNVR,Unilever Indonesia Tbk.,11 Jan 1982,7.630.000.000,UTAMA
595,URBN,Urban Jakarta Propertindo Tbk.,10 Des 2018,3.203.660.000,PENGEMBANGAN
596,VICO,Victoria Investama Tbk.,08 Jul 2013,9.150.094.680,UTAMA
597,VINS,Victoria Insurance Tbk.,28 Sep 2015,1.453.582.700,PENGEMBANGAN
598,VIVA,Visi Media Asia Tbk.,21 Nov 2011,16.464.270.400,UTAMA
599,VOKS,Voksel Electric Tbk.,20 Des 1990,4.155.602.595,UTAMA
600,VRNA,Verena Multi Finance Tbk.,25 Jun 2008,2.585.160.908,PENGEMBANGAN
